Time(s),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s)
2.71,25.4968,13.587,0.00262415,14326.6,7072.95,0.137121
2.72,25.4968,13.5771,0.00250027,14326.2,7067.19,0.657493
2.73,25.4969,13.5671,0.00249259,14326.6,7061.54,0.0295634
2.74,25.4968,13.5572,0.0024652,14326.7,7056.16,0.771904
2.75,25.4968,13.5471,0.00253597,14326.4,7050.55,0.58489
2.76,25.4967,13.537,0.00251097,14326.5,7044.74,0.936289
2.77,25.4968,13.5271,0.00244807,14326.6,7039.35,0.271764
2.78,25.4967,13.5171,0.00246357,14326.3,7033.63,0.666786
2.79,25.4968,13.5071,0.00260196,14326.5,7027.82,0.386535
2.8,25.4968,13.497,0.00245564,14326.4,7022.6,0.239435
2.81,25.4968,13.4872,0.00256528,14326.5,7016.89,0.57853
2.82,25.4969,13.477,0.00251426,14326.3,7011.1,0.502249
2.83,25.4968,13.4671,0.00252522,14326.7,7005.44,0.552966
2.84,25.4969,13.4572,0.00254088,14326.7,7000.09,0.52367
2.85,25.4968,13.4471,0.00255813,14326.7,6994.29,0.572516
2.86,25.4968,13.4371,0.00261965,14326.5,6988.93,0.234179
2.87,25.4967,13.4271,0.00253429,14326.6,6983.06,0.240363
2.88,25.4968,13.4171,0.00261489,14326.5,6977.25,0.686936
2.89,25.4967,13.4071,0.00253089,14326.5,6971.61,0.434828
2.9,25.4968,13.397,0.00254204,14326.1,6966.47,0.382524
2.91,25.4968,13.3871,0.00265936,14326.3,6960.79,0.605186
2.92,25.4968,13.3771,0.00257925,14326.5,6954.9,0.652717
2.93,25.4968,13.367,0.00264774,14326.5,6949.14,0.542379
2.94,25.4968,13.3571,0.0025076,14326.4,6943.55,0.592018
2.95,25.4968,13.3471,0.00243405,14326.6,6937.94,0.643867
2.96,25.4968,13.3371,0.00260791,14326.3,6932.35,0.435881
2.97,25.4968,13.3271,0.00254386,14326.5,6926.81,0.563936
2.98,25.4968,13.317,0.00261575,14326.4,6921.39,0.294669
2.99,25.4968,13.3072,0.00258378,14326.5,6915.76,0.675529
3,25.4967,13.2971,0.00255561,14326.2,6910.15,0.268108
3.01,25.4967,13.2871,0.0025402,14326.2,6904.24,0.452791
3.02,25.4967,13.2771,0.00255889,14326.4,6898.58,0.607071
3.03,25.4969,13.2671,0.0025862,14326.5,6893.11,0.311324
3.04,25.4968,13.257,0.00254064,14326.4,6887.39,0.647684
3.05,25.4969,13.2471,0.0025317,14326.3,6881.63,0.641828
3.06,25.4968,13.2371,0.00255294,14326.4,6876.18,0.332361
3.07,25.4968,13.2271,0.00247063,14326.3,6870.59,0.72174
3.08,25.4968,13.2171,0.00257531,14326.7,6864.99,0.486965
3.09,25.4967,13.2071,0.00252085,14326.4,6859.3,0.446836
3.1,25.4967,13.1971,0.00250158,14326.4,6854.12,0.628518
3.11,25.4967,13.187,0.00256385,14326.5,6847.95,0.486268
3.12,25.4968,13.177,0.00248688,14326.4,6842.72,0.426521
3.13,25.4968,13.167,0.00263986,14326.4,6836.83,0.379409
3.14,25.4967,13.1571,0.00260589,14326.5,6831.35,0.473638
3.15,25.4967,13.1471,0.00250391,14326.5,6825.48,0.40016
3.16,25.4968,13.1371,0.00255567,14326.3,6820.05,0.572094
3.17,25.4968,13.1271,0.0025225,14326.3,6814.24,0.533938
3.18,25.4967,13.1171,0.00253863,14326.7,6808.79,0.303353
3.19,25.4968,13.1071,0.00251852,14326.3,6803.07,0.124079
3.2,25.4968,13.097,0.00258477,14326.3,6797.92,0.418235
3.21,25.4967,13.087,0.00256437,14326.5,6791.93,0.462055
3.22,25.4966,13.077,0.00255524,14326.3,6786.37,0.540154
3.23,25.4968,13.0671,0.00256347,14326.5,6780.47,0.75119
3.24,25.4967,13.0571,0.00262585,14326.3,6775.19,0.311035
3.25,25.4967,13.0471,0.00248618,14326.4,6769.33,0.509584
3.26,25.4968,13.0371,0.00254933,14326.7,6763.87,0.231613
3.27,25.4967,13.027,0.00258688,14326.9,6758.38,0.778264
3.28,25.4968,13.017,0.00245926,14326.6,6752.99,0.588068
3.29,25.4967,13.0071,0.00258367,14326.3,6747.22,0.323535
3.3,25.4967,12.997,0.00248811,14326.5,6741.48,0.196893
3.31,25.4967,12.987,0.00257715,14326.6,6735.59,0.748595
3.32,25.4967,12.977,0.00250787,14326.5,6730.31,0.7993
3.33,25.4967,12.9671,0.00262033,14326.1,6724.65,0.656907
3.34,25.4968,12.9571,0.00256388,14326.5,6718.7,0.589813
3.35,25.4967,12.947,0.00263784,14326.5,6713.37,0.680093
